Section,Division,Groupe,Classe,Genre,Code,Name_fr
"A","","","","","A","AGRICULTURE, SYLVICULTURE ET PÊCHE"
"","","","0811","","0811","Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise"
"","","","","081100","081100","Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise"
"","","","0812","","0812","Exploitation de gravières et sablières, extraction d'argiles et de kaolin"
"","","","","081200","081200","Exploitation de gravières et sablières, extraction d'argiles et de kaolin"
"","","089","","","089","Activités extractives n.c.a."
"","","","0891","","0891","Extraction de minéraux chimique et d'engrais minéraux"
"","","","","089100","089100","Extraction de minéraux chimique et d'engrais minéraux"
"","","","0892","","0892","Extraction de tourbe"
"","","","","089200","089200","Extraction de tourbe"
"","","","0893","","0893","Production de sel"
"","","","","089300","089300","Production de sel"
"","","","0899","","0899","Autres activités extractives n.c.a."
"","","","","089900","089900","Autres activités extractives n.c.a."
"","09","","","","09","Services de soutien aux industries extractives"
"","","091","","","091","Activités de soutien à l'extraction d'hydrocarbures"
"","","","0910","","0910","Activités de soutien à l'extraction d'hydrocarbures"
"","","","","091000","091000","Activités de soutien à l'extraction d'hydrocarbures"
"","","099","","","099","Activités de soutien aux autres industries extractives"
"","","","0990","","0990","Activités de soutien aux autres industries extractives"
"","","","","099000","099000","Activités de soutien aux autres industries extractives"
"C","","","","","C","INDUSTRIE MANUFACTURIÈRE"
"","10","","","","10","Industries alimentaires"
"","","101","","","101","Transformation et conservation de la viande et préparation de produits à base de viande"
"","","","1011","","1011","Transformation et conservation de la viande de boucherie"
"","","","","101100","101100","Production de viande de boucherie (sans volailles)"
"","","","1012","","1012","Transformation et conservation de la viande de volaille"
"","","","","101200","101200","Production de viande de volailles"
"","","","1013","","1013","Préparation de produits à base de viande"
"","","","","101300","101300","Préparation de produits à base de viande"
"","","102","","","102","Transformation et conservation de poisson, de crustacés et de mollusques"
"","","","1020","","1020","Transformation et conservation de poisson, de crustacés et de mollusques"
"","","","","102000","102000","Transformation et conservation de poisson, de crustacés et de mollusques"
"","","103","","","103","Transformation et conservation de fruits et légumes"
"","","","1031","","1031","Transformation et conservation de pommes de terre"
"","","","","103100","103100","Transformation et conservation de pommes de terre"
"","","","1032","","1032","Préparation de jus de fruits et légumes"
"","","","","103200","103200","Préparation de jus de fruits et légumes"
"","","","1039","","1039","Autre transformation et conservation de fruits et légumes"
"","","","","103900","103900","Autre transformation et conservation de fruits et légumes"
"","","104","","","104","Fabrication d'huiles et graisses végétales et animales"
"","","","1041","","1041","Fabrication d'huiles et graisses"
"","","","","104100","104100","Fabrication d'huiles et graisses"
"","","","1042","","1042","Fabrication de margarine et graisses comestibles similaires"
"","","","","104200","104200","Fabrication de margarine et graisses comestibles similaires"
"","","105","","","105","Fabrication de produits laitiers"
"","","","1051","","1051","Exploitation de laiteries et fabrication de fromage"
"","","","","105101","105101","Fabrication de produits laitiers frais"
"","","","","105102","105102","Fabrication de fromage"
"","","","","105103","105103","Fabrication d'autres produits laitiers"
"","","","1052","","1052","Fabrication de glaces et sorbets"
"","","","","105200","105200","Fabrication de glaces et sorbets"
"","","106","","","106","Travail des grains; fabrication de produits amylacés"
"","","","1061","","1061","Travail des grains"
"","","","","106100","106100","Travail des grains"
"","","","1062","","1062","Fabrication de produits amylacés"
"","","","","106200","106200","Fabrication de produits amylacés"
"","","107","","","107","Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires"
"","","","1071","","1071","Fabrication de pain et de pâtisserie fraîche"
"","","","","107100","107100","Fabrication de pain et de pâtisserie fraîche"
"","","","1072","","1072","Fabrication de biscuits, biscottes et pâtisseries de conservation"
"","","","","107200","107200","Fabrication de biscuits, biscottes et pâtisseries de conservation"
"","","","1073","","1073","Fabrication de pâtes alimentaires"
"","","","","107300","107300","Fabrication de pâtes alimentaires"
"","","108","","","108","Fabrication d'autres produits alimentaires"
"","","","1081","","1081","Fabrication de sucre"
"","","","","108100","108100","Fabrication de sucre"
"","","","1082","","1082","Fabrication de cacao, chocolat et de produits de confiserie"
"","","","","108201","108201","Fabrication de cacao et de chocolat"
"","","","","108202","108202","Fabrication de confiserie"
"","","","1083","","1083","Transformation du thé et du café"
"","","","","108300","108300","Transformation du thé et du café"
"","","","1084","","1084","Fabrication de condiments et assaisonnements"
"","","","","108400","108400","Fabrication de condiments et assaisonnements"
"","","","1085","","1085","Fabrication de plats préparés"
"","","","","108500","108500","Fabrication de plats préparés"
"","","","1086","","1086","Fabrication d'aliments homogénéisés et diététiques"
"","","","","108600","108600","Fabrication d'aliments homogénéisés et diététiques"
"","","","1089","","1089","Fabrication d'autres produits alimentaires n.c.a."
"","","","","108900","108900","Fabrication d'autres produits alimentaires n.c.a."
"","","109","","","109","Fabrication d'aliments pour animaux"
"","","","1091","","1091","Fabrication d'aliments pour animaux de ferme"
"","","","","109100","109100","Fabrication d'aliments pour animaux de ferme"
"","","","1092","","1092","Fabrication d'aliments pour animaux de compagnie"
"","","","","109200","109200","Fabrication d'aliments pour animaux de compagnie"
"","11","","","","11","Fabrication de boissons"
"","","110","","","110","Fabrication de boissons"
"","","","1101","","1101","Production de boissons alcooliques distillées"
"","","","","110100","110100","Production de boissons alcooliques distillées"
"","","","1102","","1102","Production de vin (de raisin)"
"","","","","110200","110200","Production de vin (de raisin)"
"","","","1103","","1103","Fabrication de cidre et de vins de fruits"
"","","","","110300","110300","Fabrication de cidre et de vins de fruits"
"","","","1104","","1104","Production d'autres boissons fermentées non distillées"
"","","","","110400","110400","Production d'autres boissons fermentées non distillées"
"","","","1105","","1105","Fabrication de bière"
"","","","","110500","110500","Fabrication de bière"
"","","","1106","","1106","Fabrication de malt"
"","","","","110600","110600","Fabrication de malt"
"","","","1107","","1107","Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes"
"","","","","110700","110700","Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes"
"","12","","","","12","Fabrication de produits à base de tabac"
"","","120","","","120","Fabrication de produits à base de tabac"
"","","","1200","","1200","Fabrication de produits à base de tabac"
"","","","","120000","120000","Fabrication de produits à base de tabac"
"","13","","","","13","Fabrication de textiles"
"","","131","","","131","Préparation de fibres textiles et filature"
"","","","1310","","1310","Préparation de fibres textiles et filature"
"","","","","131001","131001","Préparation et filature de fibres de type coton"
"","","","","131002","131002","Préparation et filature de fibres de type laine - cycle cardé et peigné"
"","","","","131003","131003","Moulinage et texturation de la soie, des textiles artificiels et synthétiques"
"","","","","131004","131004","Préparation et filature d'autres fibres textiles"
"","","132","","","132","Tissage"
"","","","1320","","1320","Tissage"
"","","","","132001","132001","Tissage de fils de type coton"
"","","","","132002","132002","Tissage de type laine - cycle cardé et peigné"
"","","","","132003","132003","Tissage d'autres matières textiles"
"","","133","","","133","Ennoblissement textile"
"","","","1330","","1330","Ennoblissement textile"
"","","","","133000","133000","Ennoblissement textile"
"","","139","","","139","Fabrication d'autres textiles"
"","","","1391","","1391","Fabrication d'étoffes à mailles"
"","","","","139100","139100","Fabrication d'étoffes à mailles"
"","","","1392","","1392","Fabrication d'articles textiles, sauf habillement"
"","","","","139201","139201","Fabrication de linge de maison"
"","","","","139202","139202","Fabrication d'articles de literie"
"","","","","139203","139203","Fabrication d'autres articles textiles prêts à l'emploi, sauf habillement"
"","","","1393","","1393","Fabrication de tapis et moquettes"
"","","","","139300","139300","Fabrication de tapis et moquettes"
"","","","1394","","1394","Fabrication de ficelles, cordes et filets"
"","","","","139400","139400","Fabrication de ficelles, cordes et filets"
"","","","1395","","1395","Fabrication de non-tissés, sauf habillement"
"","","","","139500","139500","Fabrication de non-tissés, sauf habillement"
"","","","1396","","1396","Fabrication d'autres textiles techniques et industriels"
"","","","","139600","139600","Fabrication d'autres textiles techniques et industriels"
