Sezione,Divisione,Gruppo,,Genere,Code,Name_it
"A","","","","","A","AGRICOLTURA, SILVICOLTURA E PESCA"
"","","072","","","072","Estrazione di minerali metalliferi non ferrosi"
"","","","0721","","0721","Estrazione di minerali di uranio e di torio"
"","","","","072100","072100","Estrazione di minerali di uranio e di torio"
"","","","0729","","0729","Estrazione di altri minerali metalliferi non ferrosi"
"","","","","072900","072900","Estrazione di altri minerali metalliferi non ferrosi"
"","08","","","","08","Altre attività estrattive"
"","","081","","","081","Estrazione di pietra, sabbia e argilla"
"","","","0811","","0811","Estrazione di pietre ornamentali e da costruzione, calcare, pietra di gesso, creta e ardesia"
"","","","","081100","081100","Estrazione di pietre ornamentali e da costruzione, calcare, pietra di gesso, creta e ardesia"
"","","","0812","","0812","Estrazione di ghiaia e sabbia; estrazione di argille e caolino"
"","","","","081200","081200","Estrazione di ghiaia e sabbia; estrazione di argille e caolino"
"","","089","","","089","Estrazione di minerali e prodotti di cava n.c.a."
"","","","0891","","0891","Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti"
"","","","","089100","089100","Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti"
"","","","0892","","0892","Estrazione di torba"
"","","","","089200","089200","Estrazione di torba"
"","","","0893","","0893","Estrazione di sale"
"","","","","089300","089300","Estrazione di sale"
"","","","0899","","0899","Altre attività estrattive n.c.a."
"","","","","089900","089900","Altre attività estrattive n.c.a."
"","09","","","","09","Attività dei servizi di supporto all'estrazione"
"","","091","","","091","Attività di supporto all'estrazione di petrolio e di gas naturale"
"","","","0910","","0910","Attività di supporto all'estrazione di petrolio e di gas naturale"
"","","","","091000","091000","Attività di supporto all'estrazione di petrolio e di gas naturale"
"","","099","","","099","Attività di supporto ad altre attività estrattive"
"","","","0990","","0990","Attività di supporto ad altre attività estrattive"
"","","","","099000","099000","Attività di supporto ad altre attività estrattive"
"C","","","","","C","ATTIVITÀ MANIFATTURIERE"
"","10","","","","10","Industrie alimentari"
"","","101","","","101","Lavorazione e conservazione di carne e produzione di prodotti a base di carne"
"","","","1011","","1011","Lavorazione e conservazione di carne"
"","","","","101100","101100","Produzione di carne, esclusi i volatili"
"","","","1012","","1012","Lavorazione e conservazione di carne di volatili"
"","","","","101200","101200","Produzione di carne di volatili"
"","","","1013","","1013","Produzione di prodotti a base di carne (compresa la carne di volatili)"
"","","","","101300","101300","Produzione di prodotti a base di carne (compresa la carne di volatili)"
"","","102","","","102","Lavorazione e conservazione di pesce, crostacei e molluschi"
"","","","1020","","1020","Lavorazione e conservazione di pesce, crostacei e molluschi"
"","","","","102000","102000","Lavorazione e conservazione di pesce, crostacei e molluschi"
"","","103","","","103","Lavorazione e conservazione di frutta e ortaggi"
"","","","1031","","1031","Lavorazione e conservazione delle patate"
"","","","","103100","103100","Lavorazione e conservazione delle patate"
"","","","1032","","1032","Produzione di succhi di frutta e di ortaggi"
"","","","","103200","103200","Produzione di succhi di frutta e di ortaggi"
"","","","1039","","1039","Altra lavorazione e conservazione di frutta e ortaggi"
"","","","","103900","103900","Altra lavorazione e conservazione di frutta e ortaggi"
"","","104","","","104","Produzione di oli e grassi vegetali e animali"
"","","","1041","","1041","Produzione di oli e grassi"
"","","","","104100","104100","Produzione di oli e grassi"
"","","","1042","","1042","Produzione di margarina e di grassi commestibili simili"
"","","","","104200","104200","Produzione di margarina e di grassi commestibili simili"
"","","105","","","105","Produzione di latte e latticini"
"","","","1051","","1051","Lavorazione del latte e produzione di latticini"
"","","","","105101","105101","Trattamento e confezionamento del latte fresco"
"","","","","105102","105102","Produzione di formaggio"
"","","","","105103","105103","Produzione di altri derivati del latte"
"","","","1052","","1052","Produzione di gelati"
"","","","","105200","105200","Produzione di gelati"
"","","106","","","106","Lavorazione delle granaglie, produzione di amidi e di prodotti amidacei"
"","","","1061","","1061","Lavorazione delle granaglie"
"","","","","106100","106100","Lavorazione delle granaglie"
"","","","1062","","1062","Produzione di amidi e di prodotti amidacei"
"","","","","106200","106200","Produzione di amidi e di prodotti amidacei"
"","","107","","","107","Fabbricazione di prodotti da forno e farinacei"
"","","","1071","","1071","Produzione di pane; prodotti di pasticceria freschi"
"","","","","107100","107100","Produzione di pane; prodotti di pasticceria freschi"
"","","","1072","","1072","Produzione di fette biscottate e di biscotti; fabbricazione di prodotti di pasticceria conservati"
"","","","","107200","107200","Produzione di fette biscottate e di biscotti; fabbricazione di prodotti di pasticceria conservati"
"","","","1073","","1073","Produzione di paste alimentari, di cuscus e di prodotti farinacei simili"
"","","","","107300","107300","Produzione di paste alimentari, di cuscus e di prodotti farinacei simili"
"","","108","","","108","Produzione di altri prodotti alimentari"
"","","","1081","","1081","Produzione di zucchero"
"","","","","108100","108100","Produzione di zucchero"
"","","","1082","","1082","Produzione di cacao, cioccolato, caramelle e confetterie"
"","","","","108201","108201","Produzione di cacao e cioccolato"
"","","","","108202","108202","Produzione di confetterie"
"","","","1083","","1083","Lavorazione del tè e del caffè"
"","","","","108300","108300","Lavorazione del tè e del caffè"
"","","","1084","","1084","Produzione di condimenti e spezie"
"","","","","108400","108400","Produzione di condimenti e spezie"
"","","","1085","","1085","Produzione di pasti e piatti preparati"
"","","","","108500","108500","Produzione di pasti e piatti preparati"
"","","","1086","","1086","Produzione di preparati omogeneizzati e di alimenti dietetici"
"","","","","108600","108600","Produzione di preparati omogeneizzati e di alimenti dietetici"
"","","","1089","","1089","Produzione di altri prodotti alimentari n.c.a."
"","","","","108900","108900","Produzione di altri prodotti alimentari n.c.a."
"","","109","","","109","Produzione di prodotti per l'alimentazione degli animali"
"","","","1091","","1091","Produzione di mangimi per l'alimentazione degli animali da allevamento"
"","","","","109100","109100","Produzione di mangimi per l'alimentazione degli animali da allevamento"
"","","","1092","","1092","Produzione di prodotti per l'alimentazione degli animali domestici"
"","","","","109200","109200","Produzione di prodotti per l'alimentazione degli animali domestici"
"","11","","","","11","Produzione di bevande"
"","","110","","","110","Produzione di bevande"
"","","","1101","","1101","Distillazione, rettifica e miscelatura di alcolici"
"","","","","110100","110100","Distillazione, rettifica e miscelatura di alcolici"
"","","","1102","","1102","Produzione di vini da uve"
"","","","","110200","110200","Produzione di vini da uve"
"","","","1103","","1103","Produzione di sidro e di altri vini a base di frutta"
"","","","","110300","110300","Produzione di sidro e di altri vini a base di frutta"
"","","","1104","","1104","Produzione di altre bevande fermentate non distillate"
"","","","","110400","110400","Produzione di altre bevande fermentate non distillate"
"","","","1105","","1105","Fabbricazione di birra"
"","","","","110500","110500","Fabbricazione di birra"
"","","","1106","","1106","Fabbricazione di malto"
"","","","","110600","110600","Fabbricazione di malto"
"","","","1107","","1107","Produzione di bibite analcoliche, di acque minerali e di altre acque in bottiglia"
"","","","","110700","110700","Produzione di bibite analcoliche, di acque minerali e di altre acque in bottiglia"
"","12","","","","12","Industria del tabacco"
"","","120","","","120","Produzione di tabacchi"
"","","","1200","","1200","Produzione di tabacchi"
"","","","","120000","120000","Produzione di tabacchi"
"","13","","","","13","Industrie tessili"
"","","131","","","131","Preparazione e filatura di fibre tessili"
"","","","1310","","1310","Preparazione e filatura di fibre tessili"
"","","","","131001","131001","Preparazione e filatura di fibre tipo cotone"
"","","","","131002","131002","Preparazione e filatura di fibre tipo lana cardata e pettinata"
"","","","","131003","131003","Torcitura e preparazione della seta e di filati sintetici o artificiali"
"","","","","131004","131004","Preparazione e filatura di altre fibre tessili"
"","","132","","","132","Tessitura"
"","","","1320","","1320","Tessitura"
"","","","","132001","132001","Tessitura di filati tipo cotone"
"","","","","132002","132002","Tessitura di filati tipo lana cardata e pettinata"
"","","","","132003","132003","Tessitura di altre materie tessili"
"","","133","","","133","Finissaggio dei tessili"
"","","","1330","","1330","Finissaggio dei tessili"
"","","","","133000","133000","Finissaggio dei tessili"
"","","139","","","139","Altre industrie tessili"
"","","","1391","","1391","Fabbricazione di tessuti a maglia"
"","","","","139100","139100","Fabbricazione di tessuti a maglia"
"","","","1392","","1392","Fabbricazione di articoli tessili, esclusi gli articoli di abbigliamento"
"","","","","139201","139201","Confezionamento di biancheria da letto, da tavola e per l'arredamento"
"","","","","139202","139202","Fabbricazione di articoli da letto"
"","","","","139203","139203","Fabbricazione di altri articoli in materie tessili (esclusi gli articoli di abbigliamento)"
"","","","1393","","1393","Fabbricazione di tappeti e moquette"
"","","","","139300","139300","Fabbricazione di tappeti e moquette"
"","","","1394","","1394","Fabbricazione di spago, corde, funi e reti"
"","","","","139400","139400","Fabbricazione di spago, corde, funi e reti"
"","","","1395","","1395","Fabbricazione di tessuti non tessuti e di articoli in tali materie, esclusi gli articoli di abbigliamento"
